ID,condition,trialType,objects,ratings
2375,BB,Experimental,B,0.884
2376,BB,Experimental,C,0.892
2377,BB,Experimental,A,0.909
2378,BB,Experimental,B,0.883
2379,BB,Experimental,C,0.89
2380,BB,Experimental,A,0.914
2381,BB,Experimental,B,0.891
2382,BB,Experimental,C,0.891
2383,BB,Experimental,A,0.912
2384,BB,Experimental,B,0.892
2385,BB,Experimental,C,0.89
2386,BB,Experimental,A,0.909
2387,BB,Experimental,B,0.891
2388,BB,Experimental,C,0.892
2389,BB,Experimental,A,0.915
2390,BB,Experimental,B,0.883
2391,BB,Experimental,C,0.892
2392,BB,Experimental,A,0.912
2393,BB,Experimental,B,0.883
2394,BB,Experimental,C,0.883
2395,BB,Experimental,A,0.91
2396,BB,Experimental,B,0.887
2397,BB,Experimental,C,0.884
2398,BB,Experimental,A,0.915
2399,BB,Experimental,B,0.892
2400,BB,Experimental,C,0.891
2401,BB,Experimental,A,0.911
2402,BB,Experimental,B,0.883
2403,BB,Experimental,C,0.892
2404,BB,Experimental,A,0.913
2405,BB,Experimental,B,0.891
2406,BB,Experimental,C,0.884
2407,BB,Experimental,A,0.909
2408,BB,Experimental,B,0.885
2409,BB,Experimental,C,0.891
2410,BB,Experimental,A,0.915
2411,BB,Experimental,B,0.891
2412,BB,Experimental,C,0.891
2413,BB,Experimental,A,0.908
2414,BB,Experimental,B,0.883
2415,BB,Experimental,C,0.883
2416,BB,Experimental,A,0.915
2417,BB,Experimental,B,0.885
2418,BB,Experimental,C,0.883
2419,BB,Experimental,A,0.914
2420,BB,Experimental,B,0.892
2421,BB,Experimental,C,0.883
2422,BB,Experimental,A,0.908
2423,BB,Experimental,B,0.883
2424,BB,Experimental,C,0.885
2425,BB,Experimental,A,0.914
2426,BB,Experimental,B,0.884
2427,BB,Experimental,C,0.89
2428,BB,Experimental,A,0.913
2429,BB,Experimental,B,0.891
2430,BB,Experimental,C,0.891
2431,BB,Experimental,A,0.915
2432,BB,Experimental,B,0.891
2433,BB,Experimental,C,0.884
2434,BB,Experimental,A,0.915
2435,BB,Experimental,B,0.891
2436,BB,Experimental,C,0.889
2437,BB,Experimental,A,0.914
2438,BB,Experimental,B,0.89
2439,BB,Experimental,C,0.884
2440,BB,Experimental,A,0.914
2441,BB,Experimental,B,0.89
2442,BB,Experimental,C,0.891
2443,BB,Experimental,A,0.912
2444,BB,Experimental,B,0.891
2445,BB,Experimental,C,0.888
2446,BB,Experimental,A,0.908
2447,BB,Experimental,B,0.892
2448,BB,Experimental,C,0.891
2449,BB,Experimental,A,0.915
2450,BB,Experimental,B,0.883
2451,BB,Experimental,C,0.883
2452,BB,Experimental,A,0.908
2453,BB,Experimental,B,0.886
2454,BB,Experimental,C,0.892
2455,BB,Experimental,A,0.908
2456,BB,Experimental,B,0.888
2457,BB,Experimental,C,0.891
2458,BB,Experimental,A,0.908
2459,BB,Experimental,B,0.883
2460,BB,Experimental,C,0.884
2461,BB,Experimental,A,0.915
2462,BB,Experimental,B,0.883
2463,BB,Experimental,C,0.885
2464,BB,Experimental,A,0.914
2465,BB,Experimental,B,0.892
2466,BB,Experimental,C,0.89
2467,BB,Experimental,A,0.908
2468,BB,Experimental,B,0.891
2469,BB,Experimental,C,0.884
2470,BB,Experimental,A,0.915
2471,BB,Experimental,B,0.883
2472,BB,Experimental,C,0.89
2473,BB,Experimental,A,0.908
2474,BB,Experimental,B,0.891
2475,BB,Experimental,C,0.892
2476,BB,Experimental,A,0.915
2477,BB,Experimental,B,0.885
2478,BB,Experimental,C,0.886
2479,BB,Experimental,A,0.915
2480,BB,Experimental,B,0.887
2481,BB,Experimental,C,0.891
2482,BB,Experimental,A,0.914
2483,BB,Experimental,B,0.883
2484,BB,Experimental,C,0.891
2485,BB,Experimental,A,0.907
2486,BB,Experimental,B,0.891
2487,BB,Experimental,C,0.885
2488,BB,Experimental,A,0.915
2489,BB,Experimental,B,0.885
2490,BB,Experimental,C,0.885
2491,BB,Experimental,A,0.914
2492,BB,Experimental,B,0.883
2493,BB,Experimental,C,0.886
2494,BB,Experimental,A,0.913
2495,BB,Experimental,B,0.89
2496,BB,Experimental,C,0.887
2497,BB,Experimental,A,0.915
2498,BB,Experimental,B,0.89
2499,BB,Experimental,C,0.892
2500,BB,Experimental,A,0.909
2501,BB,Experimental,B,0.892
2502,BB,Experimental,C,0.89
2503,BB,Experimental,A,0.907
2504,BB,Experimental,B,0.892
2505,BB,Experimental,C,0.89
2506,BB,Experimental,A,0.913
2507,BB,Experimental,B,0.891
2508,BB,Experimental,C,0.883
2509,BB,Experimental,A,0.908
2510,BB,Experimental,B,0.883
2511,BB,Experimental,C,0.884
2512,BB,Experimental,A,0.914
2513,BB,Experimental,B,0.883
2514,BB,Experimental,C,0.892
2515,BB,Experimental,A,0.914
2516,BB,Experimental,B,0.886
2517,BB,Experimental,C,0.892
2518,BB,Experimental,A,0.909
2519,BB,Experimental,B,0.89
2520,BB,Experimental,C,0.887
2521,BB,Experimental,A,0.914
2522,BB,Experimental,B,0.891
2523,BB,Experimental,C,0.887
2524,BB,Experimental,A,0.914
2525,BB,Experimental,B,0.883
2526,BB,Experimental,C,0.892
2527,BB,Experimental,A,0.907
2528,BB,Experimental,B,0.887
2529,BB,Experimental,C,0.892
2530,BB,Experimental,A,0.914
2531,BB,Experimental,B,0.891
2532,BB,Experimental,C,0.883
2533,BB,Experimental,A,0.913
2534,BB,Experimental,B,0.889
2535,BB,Experimental,C,0.892
2536,BB,Experimental,A,0.915
2537,BB,Experimental,B,0.884
2538,BB,Experimental,C,0.892
2539,BB,Experimental,A,0.915
2540,BB,Experimental,B,0.886
2541,BB,Experimental,C,0.889
2542,BB,Experimental,A,0.913
2543,BB,Experimental,B,0.891
2544,BB,Experimental,C,0.886
2545,BB,Experimental,A,0.915
2546,BB,Experimental,B,0.887
2547,BB,Experimental,C,0.885
2548,BB,Experimental,A,0.909
2549,BB,Experimental,B,0.887
2550,BB,Experimental,C,0.891
2551,BB,Experimental,A,0.909
2552,BB,Experimental,B,0.891
2553,BB,Experimental,C,0.891
2554,BB,Experimental,A,0.909
2555,BB,Experimental,B,0.884
2556,BB,Experimental,C,0.883
2557,BB,Experimental,A,0.914
2558,BB,Experimental,B,0.891
2559,BB,Experimental,C,0.892
2560,BB,Experimental,A,0.913
2561,BB,Experimental,B,0.886
2562,BB,Experimental,C,0.884
2563,BB,Experimental,A,0.915
2564,BB,Experimental,B,0.883
2565,BB,Experimental,C,0.891
2566,BB,Experimental,A,0.915
2567,BB,Experimental,B,0.883
2568,BB,Experimental,C,0.883
2569,BB,Experimental,A,0.912
2570,BB,Experimental,B,0.883
2571,BB,Experimental,C,0.887
2572,BB,Experimental,A,0.915
2573,BB,Experimental,B,0.886
2574,BB,Experimental,C,0.883
2575,BB,Experimental,A,0.914
2576,BB,Experimental,B,0.891
2577,BB,Experimental,C,0.884
2578,BB,Experimental,A,0.915
2579,BB,Experimental,B,0.892
2580,BB,Experimental,C,0.889
2581,BB,Experimental,A,0.908
2582,BB,Experimental,B,0.892
2583,BB,Experimental,C,0.892
2584,BB,Experimental,A,0.915
2585,BB,Experimental,B,0.891
2586,BB,Experimental,C,0.891
2587,BB,Experimental,A,0.907
2588,BB,Experimental,B,0.883
2589,BB,Experimental,C,0.887
2590,BB,Experimental,A,0.915
2591,BB,Experimental,B,0.884
2592,BB,Experimental,C,0.891
2593,BB,Experimental,A,0.915
2594,BB,Experimental,B,0.892
2595,BB,Experimental,C,0.89
2596,BB,Experimental,A,0.91
2597,BB,Experimental,B,0.891
2598,BB,Experimental,C,0.885
2599,BB,Experimental,A,0.915
2600,BB,Experimental,B,0.891
2601,BB,Experimental,C,0.886
2602,BB,Experimental,A,0.913
2603,BB,Experimental,B,0.892
2604,BB,Experimental,C,0.883
2605,BB,Experimental,A,0.915
2606,BB,Experimental,B,0.891
2607,BB,Experimental,C,0.89
2608,BB,Experimental,A,0.909
2609,BB,Experimental,B,0.884
2610,BB,Experimental,C,0.885
2611,BB,Experimental,A,0.909
2612,BB,Experimental,B,0.883
2613,BB,Experimental,C,0.883
2614,BB,Experimental,A,0.908
2615,BB,Experimental,B,0.889
2616,BB,Experimental,C,0.891
2617,BB,Experimental,A,0.907
2618,BB,Experimental,B,0.891
2619,BB,Experimental,C,0.887
2620,BB,Experimental,A,0.913
2621,BB,Experimental,B,0.892
2622,BB,Experimental,C,0.885
2623,BB,Experimental,A,0.908
2624,BB,Experimental,B,0.888
2625,BB,Experimental,C,0.891
2626,BB,Experimental,A,0.915
2627,BB,Experimental,B,0.885
2628,BB,Experimental,C,0.891
2629,BB,Experimental,A,0.913
2630,BB,Experimental,B,0.889
2631,BB,Experimental,C,0.892
2632,BB,Experimental,A,0.911
2633,BB,Experimental,B,0.891
2634,BB,Experimental,C,0.891
2635,BB,Experimental,A,0.908
2636,BB,Experimental,B,0.883
2637,BB,Experimental,C,0.883
2638,BB,Experimental,A,0.908
2639,BB,Experimental,B,0.883
2640,BB,Experimental,C,0.891
2641,BB,Experimental,A,0.915
2642,BB,Experimental,B,0.888
2643,BB,Experimental,C,0.884
2644,BB,Experimental,A,0.915
2645,BB,Experimental,B,0.888
2646,BB,Experimental,C,0.883
2647,BB,Experimental,A,0.909
2648,BB,Experimental,B,0.887
2649,BB,Experimental,C,0.891
2650,BB,Experimental,A,0.915
2651,BB,Experimental,B,0.892
2652,BB,Experimental,C,0.883
2653,BB,Experimental,A,0.908
2654,BB,Experimental,B,0.883
2655,BB,Experimental,C,0.884
2656,BB,Experimental,A,0.914
2657,BB,Experimental,B,0.891
2658,BB,Experimental,C,0.89
2659,BB,Experimental,A,0.914
2660,BB,Experimental,B,0.891
2661,BB,Experimental,C,0.889
2662,BB,Experimental,A,0.909
2663,BB,Experimental,B,0.891
2664,BB,Experimental,C,0.883
2665,BB,Experimental,A,0.908
2666,BB,Experimental,B,0.883
2667,BB,Experimental,C,0.886
2668,BB,Experimental,A,0.908
2669,BB,Experimental,B,0.886
2670,BB,Experimental,C,0.891
2671,BB,Experimental,A,0.911
2672,BB,Experimental,B,0.892
2673,BB,Experimental,C,0.891
2674,BB,Experimental,A,0.912
2675,BB,Experimental,B,0.891
2676,BB,Experimental,C,0.883
2677,BB,Experimental,A,0.915
2678,BB,Experimental,B,0.892
2679,BB,Experimental,C,0.883
2680,BB,Experimental,A,0.908
2681,BB,Experimental,B,0.887
2682,BB,Experimental,C,0.883
2683,BB,Experimental,A,0.912
2684,BB,Experimental,B,0.89
2685,BB,Experimental,C,0.891
2686,BB,Experimental,A,0.915
2687,BB,Experimental,B,0.889
2688,BB,Experimental,C,0.884
2689,BB,Experimental,A,0.915
2690,BB,Experimental,B,0.892
2691,BB,Experimental,C,0.892
2692,BB,Experimental,A,0.91
2693,BB,Experimental,B,0.891
2694,BB,Experimental,C,0.89
2695,BB,Experimental,A,0.913
2696,BB,Experimental,B,0.883
2697,BB,Experimental,C,0.891
2698,BB,Experimental,A,0.915
2699,BB,Experimental,B,0.887
2700,BB,Experimental,C,0.883
2701,BB,Experimental,A,0.908
2702,BB,Experimental,B,0.891
2703,BB,Experimental,C,0.891
2704,BB,Experimental,A,0.915
2705,BB,Experimental,B,0.886
2706,BB,Experimental,C,0.884
2707,BB,Experimental,A,0.91
2708,BB,Experimental,B,0.891
2709,BB,Experimental,C,0.892
2710,BB,Experimental,A,0.915
2711,BB,Experimental,B,0.89
2712,BB,Experimental,C,0.883
2713,BB,Experimental,A,0.915
2714,BB,Experimental,B,0.884
2715,BB,Experimental,C,0.891
2716,BB,Experimental,A,0.908
2717,BB,Experimental,B,0.886
2718,BB,Experimental,C,0.883
2719,BB,Experimental,A,0.914
2720,BB,Experimental,B,0.892
2721,BB,Experimental,C,0.89
2722,BB,Experimental,A,0.914
2723,BB,Experimental,B,0.89
2724,BB,Experimental,C,0.888
2725,BB,Experimental,A,0.914
2726,BB,Experimental,B,0.883
2727,BB,Experimental,C,0.889
2728,BB,Experimental,A,0.915
2729,BB,Experimental,B,0.892
2730,BB,Experimental,C,0.886
2731,BB,Experimental,A,0.914
2732,BB,Experimental,B,0.884
2733,BB,Experimental,C,0.887
2734,BB,Experimental,A,0.915
2735,BB,Experimental,B,0.883
2736,BB,Experimental,C,0.885
2737,BB,Experimental,A,0.914
2738,BB,Experimental,B,0.89
2739,BB,Experimental,C,0.892
2740,BB,Experimental,A,0.915
2741,BB,Experimental,B,0.886
2742,BB,Experimental,C,0.883
2743,BB,Experimental,A,0.908
2744,BB,Experimental,B,0.886
2745,BB,Experimental,C,0.883
2746,BB,Experimental,A,0.908
2747,BB,Experimental,B,0.883
2748,BB,Experimental,C,0.891
2749,BB,Experimental,A,0.91
2750,BB,Experimental,B,0.883
2751,BB,Experimental,C,0.891
2752,BB,Experimental,A,0.907
2753,BB,Experimental,B,0.883
2754,BB,Experimental,C,0.889
2755,BB,Experimental,A,0.907
2756,BB,Experimental,B,0.883
2757,BB,Experimental,C,0.891
2758,BB,Experimental,A,0.913
2759,BB,Experimental,B,0.883
2760,BB,Experimental,C,0.883
2761,BB,Experimental,A,0.914
2762,BB,Experimental,B,0.891
2763,BB,Experimental,C,0.883
2764,BB,Experimental,A,0.914
2765,BB,Experimental,B,0.887
2766,BB,Experimental,C,0.89
2767,BB,Experimental,A,0.915
2768,BB,Experimental,B,0.89
2769,BB,Experimental,C,0.884
2770,BB,Experimental,A,0.908
2771,BB,Experimental,B,0.883
2772,BB,Experimental,C,0.886
2773,BB,Experimental,A,0.909
2774,BB,Experimental,B,0.891
2775,BB,Experimental,C,0.891
2776,BB,Experimental,A,0.908
2777,BB,Experimental,B,0.892
2778,BB,Experimental,C,0.884
2779,BB,Experimental,A,0.908
2780,BB,Experimental,B,0.887
2781,BB,Experimental,C,0.885
2782,BB,Experimental,A,0.907
2783,BB,Experimental,B,0.884
2784,BB,Experimental,C,0.89
2785,BB,Experimental,A,0.908
2786,BB,Experimental,B,0.886
2787,BB,Experimental,C,0.891
2788,BB,Experimental,A,0.908
2789,BB,Experimental,B,0.892
2790,BB,Experimental,C,0.883
2791,BB,Experimental,A,0.914
2792,BB,Experimental,B,0.883
2793,BB,Experimental,C,0.892
2794,BB,Experimental,A,0.913
2795,BB,Experimental,B,0.892
2796,BB,Experimental,C,0.89
2797,BB,Experimental,A,0.91
2798,BB,Experimental,B,0.883
2799,BB,Experimental,C,0.886
2800,BB,Experimental,A,0.91
2801,BB,Experimental,B,0.883
2802,BB,Experimental,C,0.887
2803,BB,Experimental,A,0.91
2804,BB,Experimental,B,0.883
2805,BB,Experimental,C,0.886
2806,BB,Experimental,A,0.913
2807,BB,Experimental,B,0.885
2808,BB,Experimental,C,0.891
2809,BB,Experimental,A,0.915
2810,BB,Experimental,B,0.887
2811,BB,Experimental,C,0.883
2812,BB,Experimental,A,0.909
2813,BB,Experimental,B,0.892
2814,BB,Experimental,C,0.884
2815,BB,Experimental,A,0.914
2816,BB,Experimental,B,0.885
2817,BB,Experimental,C,0.883
2818,BB,Experimental,A,0.912
2819,BB,Experimental,B,0.891
2820,BB,Experimental,C,0.89
2821,BB,Experimental,A,0.911
2822,BB,Experimental,B,0.883
2823,BB,Experimental,C,0.883
2824,BB,Experimental,A,0.908
2825,BB,Experimental,B,0.883
2826,BB,Experimental,C,0.889
2827,BB,Experimental,A,0.914
2828,BB,Experimental,B,0.886
2829,BB,Experimental,C,0.883
2830,BB,Experimental,A,0.915
2831,BB,Experimental,B,0.891
2832,BB,Experimental,C,0.891
2833,BB,Experimental,A,0.91
2834,BB,Experimental,B,0.892
2835,BB,Experimental,C,0.891
2836,BB,Experimental,A,0.908
2837,BB,Experimental,B,0.888
2838,BB,Experimental,C,0.883
2839,BB,Experimental,A,0.911
2840,BB,Experimental,B,0.883
2841,BB,Experimental,C,0.883
2842,BB,Experimental,A,0.91
2843,BB,Experimental,B,0.883
2844,BB,Experimental,C,0.888
2845,BB,Experimental,A,0.915
2846,BB,Experimental,B,0.884
2847,BB,Experimental,C,0.891
2848,BB,Experimental,A,0.908
2849,BB,Experimental,B,0.884
2850,BB,Experimental,C,0.891
2851,BB,Experimental,A,0.912
2852,BB,Experimental,B,0.883
2853,BB,Experimental,C,0.891
2854,BB,Experimental,A,0.908
2855,BB,Experimental,B,0.883
2856,BB,Experimental,C,0.883
2857,BB,Experimental,A,0.915
2858,BB,Experimental,B,0.883
2859,BB,Experimental,C,0.885
2860,BB,Experimental,A,0.913
2861,BB,Experimental,B,0.889
2862,BB,Experimental,C,0.883
2863,BB,Experimental,A,0.908
2864,BB,Experimental,B,0.886
2865,BB,Experimental,C,0.892
2866,BB,Experimental,A,0.913
2867,BB,Experimental,B,0.883
2868,BB,Experimental,C,0.889
2869,BB,Experimental,A,0.909
2870,BB,Experimental,B,0.887
2871,BB,Experimental,C,0.89
2872,BB,Experimental,A,0.914
2873,BB,Experimental,B,0.89
2874,BB,Experimental,C,0.883
2875,BB,Experimental,A,0.909
2876,BB,Experimental,B,0.888
2877,BB,Experimental,C,0.892
2878,BB,Experimental,A,0.911
2879,BB,Experimental,B,0.891
2880,BB,Experimental,C,0.883
2881,BB,Experimental,A,0.915
2882,BB,Experimental,B,0.891
2883,BB,Experimental,C,0.884
2884,BB,Experimental,A,0.913
2885,BB,Experimental,B,0.888
2886,BB,Experimental,C,0.891
2887,BB,Experimental,A,0.907
2888,BB,Experimental,B,0.888
2889,BB,Experimental,C,0.892
2890,BB,Experimental,A,0.911
2891,BB,Experimental,B,0.883
2892,BB,Experimental,C,0.892
2893,BB,Experimental,A,0.91
2894,BB,Experimental,B,0.887
2895,BB,Experimental,C,0.889
2896,BB,Experimental,A,0.915
2897,BB,Experimental,B,0.892
2898,BB,Experimental,C,0.886
2899,BB,Experimental,A,0.909
2900,BB,Experimental,B,0.892
2901,BB,Experimental,C,0.888
2902,BB,Experimental,A,0.911
2903,BB,Experimental,B,0.884
2904,BB,Experimental,C,0.891
2905,BB,Experimental,A,0.909
2906,BB,Experimental,B,0.892
2907,BB,Experimental,C,0.892
2908,BB,Experimental,A,0.915
2909,BB,Experimental,B,0.892
2910,BB,Experimental,C,0.884
2911,BB,Experimental,A,0.914
2912,BB,Experimental,B,0.886
2913,BB,Experimental,C,0.884
2914,BB,Experimental,A,0.915
2915,BB,Experimental,B,0.886
2916,BB,Experimental,C,0.884
2917,BB,Experimental,A,0.915
2918,BB,Experimental,B,0.884
2919,BB,Experimental,C,0.888
2920,BB,Experimental,A,0.908
2921,BB,Experimental,B,0.886
2922,BB,Experimental,C,0.891
2923,BB,Experimental,A,0.915
2924,BB,Experimental,B,0.891
2925,BB,Experimental,C,0.891
2926,BB,Experimental,A,0.915
2927,BB,Experimental,B,0.892
2928,BB,Experimental,C,0.884
2929,BB,Experimental,A,0.908
2930,BB,Experimental,B,0.884
2931,BB,Experimental,C,0.888
2932,BB,Experimental,A,0.913
2933,BB,Experimental,B,0.883
2934,BB,Experimental,C,0.89
2935,BB,Experimental,A,0.91
2936,BB,Experimental,B,0.891
2937,BB,Experimental,C,0.888
2938,BB,Experimental,A,0.915
2939,BB,Experimental,B,0.891
2940,BB,Experimental,C,0.892
2941,BB,Experimental,A,0.914
2942,BB,Experimental,B,0.891
2943,BB,Experimental,C,0.89
2944,BB,Experimental,A,0.908
2945,BB,Experimental,B,0.892
2946,BB,Experimental,C,0.892
2947,BB,Experimental,A,0.909
2948,BB,Experimental,B,0.889
2949,BB,Experimental,C,0.886
2950,BB,Experimental,A,0.911
2951,BB,Experimental,B,0.884
2952,BB,Experimental,C,0.888
2953,BB,Experimental,A,0.908
2954,BB,Experimental,B,0.886
2955,BB,Experimental,C,0.883
2956,BB,Experimental,A,0.911
2957,BB,Experimental,B,0.886
2958,BB,Experimental,C,0.891
2959,BB,Experimental,A,0.907
2960,BB,Experimental,B,0.883
2961,BB,Experimental,C,0.884
2962,BB,Experimental,A,0.908
2963,BB,Experimental,B,0.891
2964,BB,Experimental,C,0.885
2965,BB,Experimental,A,0.907
2966,BB,Experimental,B,0.884
2967,BB,Experimental,C,0.889
2968,BB,Experimental,A,0.909
2969,BB,Experimental,B,0.889
2970,BB,Experimental,C,0.887
2971,BB,Experimental,A,0.912
2972,BB,Experimental,B,0.886
2973,BB,Experimental,C,0.89
2974,BB,Experimental,A,0.913
2975,BB,Experimental,B,0.888
2976,BB,Experimental,C,0.883
2977,BB,Experimental,A,0.91
2978,BB,Experimental,B,0.892
2979,BB,Experimental,C,0.889
2980,BB,Experimental,A,0.907
2981,BB,Experimental,B,0.883
2982,BB,Experimental,C,0.892
2983,BB,Experimental,A,0.915
2984,BB,Experimental,B,0.883
2985,BB,Experimental,C,0.892
2986,BB,Experimental,A,0.914
2987,BB,Experimental,B,0.89
2988,BB,Experimental,C,0.883
2989,BB,Experimental,A,0.912
2990,BB,Experimental,B,0.888
2991,BB,Experimental,C,0.89
2992,BB,Experimental,A,0.909
2993,BB,Experimental,B,0.891
2994,BB,Experimental,C,0.888
2995,BB,Experimental,A,0.912
2996,BB,Experimental,B,0.891
2997,BB,Experimental,C,0.885
2998,BB,Experimental,A,0.915
2999,BB,Experimental,B,0.89
3000,BB,Experimental,C,0.885
3001,BB,Control,A,0.891
3002,BB,Control,B,0.884
3003,BB,Control,C,0.883
3004,BB,Control,D,0.843
3005,BB,Control,A,0.883
3006,BB,Control,B,0.89
3007,BB,Control,C,0.883
3008,BB,Control,D,0.847
3009,BB,Control,A,0.891
3010,BB,Control,B,0.892
3011,BB,Control,C,0.89
3012,BB,Control,D,0.828
3013,BB,Control,A,0.883
3014,BB,Control,B,0.884
3015,BB,Control,C,0.884
3016,BB,Control,D,0.854
3017,BB,Control,A,0.891
3018,BB,Control,B,0.883
3019,BB,Control,C,0.884
3020,BB,Control,D,0.849
3021,BB,Control,A,0.884
3022,BB,Control,B,0.886
3023,BB,Control,C,0.886
3024,BB,Control,D,0.841
3025,BB,Control,A,0.891
3026,BB,Control,B,0.888
3027,BB,Control,C,0.883
3028,BB,Control,D,0.831
3029,BB,Control,A,0.891
3030,BB,Control,B,0.883
3031,BB,Control,C,0.886
3032,BB,Control,D,0.851
3033,BB,Control,A,0.891
3034,BB,Control,B,0.89
3035,BB,Control,C,0.883
3036,BB,Control,D,0.846
3037,BB,Control,A,0.89
3038,BB,Control,B,0.887
3039,BB,Control,C,0.892
3040,BB,Control,D,0.838
3041,BB,Control,A,0.891
3042,BB,Control,B,0.883
3043,BB,Control,C,0.889
3044,BB,Control,D,0.86
3045,BB,Control,A,0.889
3046,BB,Control,B,0.892
3047,BB,Control,C,0.884
3048,BB,Control,D,0.848
3049,BB,Control,A,0.885
3050,BB,Control,B,0.888
3051,BB,Control,C,0.891
3052,BB,Control,D,0.848
3053,BB,Control,A,0.891
3054,BB,Control,B,0.891
3055,BB,Control,C,0.892
3056,BB,Control,D,0.849
3057,BB,Control,A,0.883
3058,BB,Control,B,0.891
3059,BB,Control,C,0.883
3060,BB,Control,D,0.839
3061,BB,Control,A,0.89
3062,BB,Control,B,0.887
3063,BB,Control,C,0.892
3064,BB,Control,D,0.843
3065,BB,Control,A,0.89
3066,BB,Control,B,0.892
3067,BB,Control,C,0.89
3068,BB,Control,D,0.845
3069,BB,Control,A,0.892
3070,BB,Control,B,0.891
3071,BB,Control,C,0.886
3072,BB,Control,D,0.855
3073,BB,Control,A,0.885
3074,BB,Control,B,0.883
3075,BB,Control,C,0.883
3076,BB,Control,D,0.85
3077,BB,Control,A,0.89
3078,BB,Control,B,0.884
3079,BB,Control,C,0.888
3080,BB,Control,D,0.841
3081,BB,Control,A,0.886
3082,BB,Control,B,0.885
3083,BB,Control,C,0.892
3084,BB,Control,D,0.858
3085,BB,Control,A,0.889
3086,BB,Control,B,0.886
3087,BB,Control,C,0.892
3088,BB,Control,D,0.834
3089,BB,Control,A,0.889
3090,BB,Control,B,0.883
3091,BB,Control,C,0.89
3092,BB,Control,D,0.845
3093,BB,Control,A,0.888
3094,BB,Control,B,0.883
3095,BB,Control,C,0.884
3096,BB,Control,D,0.841
3097,BB,Control,A,0.892
3098,BB,Control,B,0.891
3099,BB,Control,C,0.883
3100,BB,Control,D,0.835
3101,BB,Control,A,0.883
3102,BB,Control,B,0.892
3103,BB,Control,C,0.886
3104,BB,Control,D,0.831
3105,BB,Control,A,0.89
3106,BB,Control,B,0.892
3107,BB,Control,C,0.891
3108,BB,Control,D,0.85
3109,BB,Control,A,0.891
3110,BB,Control,B,0.892
3111,BB,Control,C,0.891
3112,BB,Control,D,0.843
3113,BB,Control,A,0.891
3114,BB,Control,B,0.884
3115,BB,Control,C,0.886
3116,BB,Control,D,0.857
3117,BB,Control,A,0.891
3118,BB,Control,B,0.891
3119,BB,Control,C,0.886
3120,BB,Control,D,0.853
3121,BB,Control,A,0.892
3122,BB,Control,B,0.89
3123,BB,Control,C,0.884
3124,BB,Control,D,0.827
3125,BB,Control,A,0.891
3126,BB,Control,B,0.885
3127,BB,Control,C,0.883
3128,BB,Control,D,0.855
3129,BB,Control,A,0.885
3130,BB,Control,B,0.892
3131,BB,Control,C,0.883
3132,BB,Control,D,0.839
3133,BB,Control,A,0.886
3134,BB,Control,B,0.892
3135,BB,Control,C,0.887
3136,BB,Control,D,0.854
3137,BB,Control,A,0.891
3138,BB,Control,B,0.892
3139,BB,Control,C,0.885
3140,BB,Control,D,0.85
3141,BB,Control,A,0.884
3142,BB,Control,B,0.885
3143,BB,Control,C,0.883
3144,BB,Control,D,0.855
3145,BB,Control,A,0.884
3146,BB,Control,B,0.89
3147,BB,Control,C,0.889
3148,BB,Control,D,0.849
3149,BB,Control,A,0.883
3150,BB,Control,B,0.885
3151,BB,Control,C,0.891
3152,BB,Control,D,0.843
3153,BB,Control,A,0.892
3154,BB,Control,B,0.89
3155,BB,Control,C,0.888
3156,BB,Control,D,0.849
3157,BB,Control,A,0.891
3158,BB,Control,B,0.892
3159,BB,Control,C,0.89
3160,BB,Control,D,0.848
3161,BB,Control,A,0.884
3162,BB,Control,B,0.883
3163,BB,Control,C,0.891
3164,BB,Control,D,0.86
3165,BB,Control,A,0.892
3166,BB,Control,B,0.883
3167,BB,Control,C,0.883
3168,BB,Control,D,0.843
3169,BB,Control,A,0.892
3170,BB,Control,B,0.891
3171,BB,Control,C,0.883
3172,BB,Control,D,0.834
3173,BB,Control,A,0.891
3174,BB,Control,B,0.883
3175,BB,Control,C,0.888
3176,BB,Control,D,0.857
3177,BB,Control,A,0.892
3178,BB,Control,B,0.885
3179,BB,Control,C,0.89
3180,BB,Control,D,0.823
3181,BB,Control,A,0.883
3182,BB,Control,B,0.885
3183,BB,Control,C,0.883
3184,BB,Control,D,0.826
3185,BB,Control,A,0.883
3186,BB,Control,B,0.89
3187,BB,Control,C,0.89
3188,BB,Control,D,0.854
3189,BB,Control,A,0.891
3190,BB,Control,B,0.89
3191,BB,Control,C,0.891
3192,BB,Control,D,0.847
3193,BB,Control,A,0.888
3194,BB,Control,B,0.891
3195,BB,Control,C,0.892
3196,BB,Control,D,0.836
3197,BB,Control,A,0.891
3198,BB,Control,B,0.886
3199,BB,Control,C,0.891
3200,BB,Control,D,0.856
3201,BB,Control,A,0.887
3202,BB,Control,B,0.883
3203,BB,Control,C,0.885
3204,BB,Control,D,0.845
3205,BB,Control,A,0.89
3206,BB,Control,B,0.884
3207,BB,Control,C,0.889
3208,BB,Control,D,0.847
3209,BB,Control,A,0.884
3210,BB,Control,B,0.888
3211,BB,Control,C,0.891
3212,BB,Control,D,0.834
3213,BB,Control,A,0.888
3214,BB,Control,B,0.89
3215,BB,Control,C,0.89
3216,BB,Control,D,0.848
3217,BB,Control,A,0.887
3218,BB,Control,B,0.891
3219,BB,Control,C,0.891
3220,BB,Control,D,0.837
3221,BB,Control,A,0.892
3222,BB,Control,B,0.883
