ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.906
2,BB,main,Phase 1,B,0.906
3,BB,main,Phase 1,C,0.86
4,BB,main,Phase 2,A,0.906
5,BB,main,Phase 2,B,0.906
6,BB,main,Phase 2,C,0.86
7,BB,main,Phase 1,A,0.906
8,BB,main,Phase 1,B,0.906
9,BB,main,Phase 1,C,0.86
10,BB,main,Phase 2,A,0.906
11,BB,main,Phase 2,B,0.906
12,BB,main,Phase 2,C,0.86
13,BB,main,Phase 1,A,0.906
14,BB,main,Phase 1,B,0.906
15,BB,main,Phase 1,C,0.86
16,BB,main,Phase 2,A,0.906
17,BB,main,Phase 2,B,0.906
18,BB,main,Phase 2,C,0.86
19,BB,main,Phase 1,A,0.906
20,BB,main,Phase 1,B,0.906
21,BB,main,Phase 1,C,0.86
22,BB,main,Phase 2,A,0.906
23,BB,main,Phase 2,B,0.906
24,BB,main,Phase 2,C,0.86
25,BB,main,Phase 1,A,0.906
26,BB,main,Phase 1,B,0.906
27,BB,main,Phase 1,C,0.86
28,BB,main,Phase 2,A,0.906
29,BB,main,Phase 2,B,0.906
30,BB,main,Phase 2,C,0.86
31,BB,main,Phase 1,A,0.906
32,BB,main,Phase 1,B,0.906
33,BB,main,Phase 1,C,0.86
34,BB,main,Phase 2,A,0.906
35,BB,main,Phase 2,B,0.906
36,BB,main,Phase 2,C,0.86
37,BB,main,Phase 1,A,0.906
38,BB,main,Phase 1,B,0.906
39,BB,main,Phase 1,C,0.86
40,BB,main,Phase 2,A,0.906
41,BB,main,Phase 2,B,0.906
42,BB,main,Phase 2,C,0.86
43,BB,main,Phase 1,A,0.906
44,BB,main,Phase 1,B,0.906
45,BB,main,Phase 1,C,0.86
46,BB,main,Phase 2,A,0.906
47,BB,main,Phase 2,B,0.906
48,BB,main,Phase 2,C,0.86
49,BB,main,Phase 1,A,0.906
50,BB,main,Phase 1,B,0.906
51,BB,main,Phase 1,C,0.86
52,BB,main,Phase 2,A,0.906
53,BB,main,Phase 2,B,0.906
54,BB,main,Phase 2,C,0.86
55,BB,main,Phase 1,A,0.906
56,BB,main,Phase 1,B,0.906
57,BB,main,Phase 1,C,0.86
58,BB,main,Phase 2,A,0.906
59,BB,main,Phase 2,B,0.906
60,BB,main,Phase 2,C,0.86
61,BB,main,Phase 1,A,0.906
62,BB,main,Phase 1,B,0.906
63,BB,main,Phase 1,C,0.86
64,BB,main,Phase 2,A,0.906
65,BB,main,Phase 2,B,0.906
66,BB,main,Phase 2,C,0.86
67,BB,main,Phase 1,A,0.906
68,BB,main,Phase 1,B,0.906
69,BB,main,Phase 1,C,0.86
70,BB,main,Phase 2,A,0.906
71,BB,main,Phase 2,B,0.906
72,BB,main,Phase 2,C,0.86
73,BB,main,Phase 1,A,0.906
74,BB,main,Phase 1,B,0.906
75,BB,main,Phase 1,C,0.86
76,BB,main,Phase 2,A,0.906
77,BB,main,Phase 2,B,0.906
78,BB,main,Phase 2,C,0.86
79,BB,main,Phase 1,A,0.906
80,BB,main,Phase 1,B,0.906
81,BB,main,Phase 1,C,0.86
82,BB,main,Phase 2,A,0.906
83,BB,main,Phase 2,B,0.906
84,BB,main,Phase 2,C,0.86
85,BB,main,Phase 1,A,0.906
86,BB,main,Phase 1,B,0.906
87,BB,main,Phase 1,C,0.86
88,BB,main,Phase 2,A,0.906
89,BB,main,Phase 2,B,0.906
90,BB,main,Phase 2,C,0.86
91,BB,main,Phase 1,A,0.906
92,BB,main,Phase 1,B,0.906
93,BB,main,Phase 1,C,0.86
94,BB,main,Phase 2,A,0.906
95,BB,main,Phase 2,B,0.906
96,BB,main,Phase 2,C,0.86
97,BB,control,Phase 1,A,0.86
98,BB,control,Phase 1,B,0.86
99,BB,control,Phase 1,C,0.86
100,BB,control,Phase 1,D,0.86
101,BB,control,Phase 1,E,0.86
102,BB,control,Phase 2,A,0.86
103,BB,control,Phase 2,B,0.86
104,BB,control,Phase 2,C,0.86
105,BB,control,Phase 2,D,0.86
106,BB,control,Phase 2,E,0.86
107,BB,control,Phase 1,A,0.86
108,BB,control,Phase 1,B,0.86
109,BB,control,Phase 1,C,0.86
110,BB,control,Phase 1,D,0.86
111,BB,control,Phase 1,E,0.86
112,BB,control,Phase 2,A,0.86
113,BB,control,Phase 2,B,0.86
114,BB,control,Phase 2,C,0.86
115,BB,control,Phase 2,D,0.86
116,BB,control,Phase 2,E,0.86
117,BB,control,Phase 1,A,0.86
118,BB,control,Phase 1,B,0.86
119,BB,control,Phase 1,C,0.86
120,BB,control,Phase 1,D,0.86
121,BB,control,Phase 1,E,0.86
122,BB,control,Phase 2,A,0.86
123,BB,control,Phase 2,B,0.86
124,BB,control,Phase 2,C,0.86
125,BB,control,Phase 2,D,0.86
126,BB,control,Phase 2,E,0.86
127,BB,control,Phase 1,A,0.86
128,BB,control,Phase 1,B,0.86
129,BB,control,Phase 1,C,0.86
130,BB,control,Phase 1,D,0.86
131,BB,control,Phase 1,E,0.86
132,BB,control,Phase 2,A,0.86
133,BB,control,Phase 2,B,0.86
134,BB,control,Phase 2,C,0.86
135,BB,control,Phase 2,D,0.86
136,BB,control,Phase 2,E,0.86
137,BB,control,Phase 1,A,0.86
138,BB,control,Phase 1,B,0.86
139,BB,control,Phase 1,C,0.86
140,BB,control,Phase 1,D,0.86
141,BB,control,Phase 1,E,0.86
142,BB,control,Phase 2,A,0.86
143,BB,control,Phase 2,B,0.86
144,BB,control,Phase 2,C,0.86
145,BB,control,Phase 2,D,0.86
146,BB,control,Phase 2,E,0.86
147,BB,control,Phase 1,A,0.86
148,BB,control,Phase 1,B,0.86
149,BB,control,Phase 1,C,0.86
150,BB,control,Phase 1,D,0.86
151,BB,control,Phase 1,E,0.86
152,BB,control,Phase 2,A,0.86
153,BB,control,Phase 2,B,0.86
154,BB,control,Phase 2,C,0.86
155,BB,control,Phase 2,D,0.86
156,BB,control,Phase 2,E,0.86
157,BB,control,Phase 1,A,0.86
158,BB,control,Phase 1,B,0.86
159,BB,control,Phase 1,C,0.86
160,BB,control,Phase 1,D,0.86
161,BB,control,Phase 1,E,0.86
162,BB,control,Phase 2,A,0.86
163,BB,control,Phase 2,B,0.86
