ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.935
2,BB,main,Phase 1,B,0.935
3,BB,main,Phase 1,C,0.903
4,BB,main,Phase 2,A,0.935
5,BB,main,Phase 2,B,0.935
6,BB,main,Phase 2,C,0.903
7,BB,main,Phase 1,A,0.935
8,BB,main,Phase 1,B,0.935
9,BB,main,Phase 1,C,0.903
10,BB,main,Phase 2,A,0.935
11,BB,main,Phase 2,B,0.935
12,BB,main,Phase 2,C,0.903
13,BB,main,Phase 1,A,0.935
14,BB,main,Phase 1,B,0.935
15,BB,main,Phase 1,C,0.903
16,BB,main,Phase 2,A,0.935
17,BB,main,Phase 2,B,0.935
18,BB,main,Phase 2,C,0.903
19,BB,main,Phase 1,A,0.935
20,BB,main,Phase 1,B,0.935
21,BB,main,Phase 1,C,0.903
22,BB,main,Phase 2,A,0.935
23,BB,main,Phase 2,B,0.935
24,BB,main,Phase 2,C,0.903
25,BB,main,Phase 1,A,0.935
26,BB,main,Phase 1,B,0.935
27,BB,main,Phase 1,C,0.903
28,BB,main,Phase 2,A,0.935
29,BB,main,Phase 2,B,0.935
30,BB,main,Phase 2,C,0.903
31,BB,main,Phase 1,A,0.935
32,BB,main,Phase 1,B,0.935
33,BB,main,Phase 1,C,0.903
34,BB,main,Phase 2,A,0.935
35,BB,main,Phase 2,B,0.935
36,BB,main,Phase 2,C,0.903
37,BB,main,Phase 1,A,0.935
38,BB,main,Phase 1,B,0.935
39,BB,main,Phase 1,C,0.903
40,BB,main,Phase 2,A,0.935
41,BB,main,Phase 2,B,0.935
42,BB,main,Phase 2,C,0.903
43,BB,main,Phase 1,A,0.935
44,BB,main,Phase 1,B,0.935
45,BB,main,Phase 1,C,0.903
46,BB,main,Phase 2,A,0.935
47,BB,main,Phase 2,B,0.935
48,BB,main,Phase 2,C,0.903
49,BB,main,Phase 1,A,0.935
50,BB,main,Phase 1,B,0.935
51,BB,main,Phase 1,C,0.903
52,BB,main,Phase 2,A,0.935
53,BB,main,Phase 2,B,0.935
54,BB,main,Phase 2,C,0.903
55,BB,main,Phase 1,A,0.935
56,BB,main,Phase 1,B,0.935
57,BB,main,Phase 1,C,0.903
58,BB,main,Phase 2,A,0.935
59,BB,main,Phase 2,B,0.935
60,BB,main,Phase 2,C,0.903
61,BB,main,Phase 1,A,0.935
62,BB,main,Phase 1,B,0.935
63,BB,main,Phase 1,C,0.903
64,BB,main,Phase 2,A,0.935
65,BB,main,Phase 2,B,0.935
66,BB,main,Phase 2,C,0.903
67,BB,main,Phase 1,A,0.935
68,BB,main,Phase 1,B,0.935
69,BB,main,Phase 1,C,0.903
70,BB,main,Phase 2,A,0.935
71,BB,main,Phase 2,B,0.935
72,BB,main,Phase 2,C,0.903
73,BB,main,Phase 1,A,0.935
74,BB,main,Phase 1,B,0.935
75,BB,main,Phase 1,C,0.903
76,BB,main,Phase 2,A,0.935
77,BB,main,Phase 2,B,0.935
78,BB,main,Phase 2,C,0.903
79,BB,main,Phase 1,A,0.935
80,BB,main,Phase 1,B,0.935
81,BB,main,Phase 1,C,0.903
82,BB,main,Phase 2,A,0.935
83,BB,main,Phase 2,B,0.935
84,BB,main,Phase 2,C,0.903
85,BB,main,Phase 1,A,0.935
86,BB,main,Phase 1,B,0.935
87,BB,main,Phase 1,C,0.903
88,BB,main,Phase 2,A,0.935
89,BB,main,Phase 2,B,0.935
90,BB,main,Phase 2,C,0.903
91,BB,main,Phase 1,A,0.935
92,BB,main,Phase 1,B,0.935
93,BB,main,Phase 1,C,0.903
94,BB,main,Phase 2,A,0.935
95,BB,main,Phase 2,B,0.935
96,BB,main,Phase 2,C,0.903
97,BB,control,Phase 1,A,0.903
98,BB,control,Phase 1,B,0.903
99,BB,control,Phase 1,C,0.903
100,BB,control,Phase 1,D,0.903
101,BB,control,Phase 1,E,0.903
102,BB,control,Phase 2,A,0.903
103,BB,control,Phase 2,B,0.903
104,BB,control,Phase 2,C,0.903
105,BB,control,Phase 2,D,0.903
106,BB,control,Phase 2,E,0.903
107,BB,control,Phase 1,A,0.903
108,BB,control,Phase 1,B,0.903
109,BB,control,Phase 1,C,0.903
110,BB,control,Phase 1,D,0.903
111,BB,control,Phase 1,E,0.903
112,BB,control,Phase 2,A,0.903
113,BB,control,Phase 2,B,0.903
114,BB,control,Phase 2,C,0.903
115,BB,control,Phase 2,D,0.903
116,BB,control,Phase 2,E,0.903
117,BB,control,Phase 1,A,0.903
118,BB,control,Phase 1,B,0.903
119,BB,control,Phase 1,C,0.903
120,BB,control,Phase 1,D,0.903
121,BB,control,Phase 1,E,0.903
122,BB,control,Phase 2,A,0.903
123,BB,control,Phase 2,B,0.903
124,BB,control,Phase 2,C,0.903
125,BB,control,Phase 2,D,0.903
126,BB,control,Phase 2,E,0.903
127,BB,control,Phase 1,A,0.903
128,BB,control,Phase 1,B,0.903
129,BB,control,Phase 1,C,0.903
130,BB,control,Phase 1,D,0.903
131,BB,control,Phase 1,E,0.903
132,BB,control,Phase 2,A,0.903
133,BB,control,Phase 2,B,0.903
134,BB,control,Phase 2,C,0.903
135,BB,control,Phase 2,D,0.903
136,BB,control,Phase 2,E,0.903
137,BB,control,Phase 1,A,0.903
138,BB,control,Phase 1,B,0.903
139,BB,control,Phase 1,C,0.903
140,BB,control,Phase 1,D,0.903
141,BB,control,Phase 1,E,0.903
142,BB,control,Phase 2,A,0.903
143,BB,control,Phase 2,B,0.903
144,BB,control,Phase 2,C,0.903
145,BB,control,Phase 2,D,0.903
146,BB,control,Phase 2,E,0.903
147,BB,control,Phase 1,A,0.903
148,BB,control,Phase 1,B,0.903
149,BB,control,Phase 1,C,0.903
150,BB,control,Phase 1,D,0.903
151,BB,control,Phase 1,E,0.903
152,BB,control,Phase 2,A,0.903
153,BB,control,Phase 2,B,0.903
154,BB,control,Phase 2,C,0.903
155,BB,control,Phase 2,D,0.903
156,BB,control,Phase 2,E,0.903
157,BB,control,Phase 1,A,0.903
158,BB,control,Phase 1,B,0.903
159,BB,control,Phase 1,C,0.903
160,BB,control,Phase 1,D,0.903
161,BB,control,Phase 1,E,0.903
162,BB,control,Phase 2,A,0.903
163,BB,control,Phase 2,B,0.903
164,BB,control,Phase 2,C,0.903
165,BB,control,Phase 2,D,0.903
166,BB,control,Phase 2,E,0.903
167,BB,control,Phase 1,A,0.903
168,BB,control,Phase 1,B,0.903
169,BB,control,Phase 1,C,0.903
170,BB,control,Phase 1,D,0.903
171,BB,control,Phase 1,E,0.903
172,BB,control,Phase 2,A,0.903
173,BB,control,Phase 2,B,0.903
174,BB,control,Phase 2,C,0.903
175,BB,control,Phase 2,D,0.903
176,BB,control,Phase 2,E,0.903
177,BB,control,Phase 1,A,0.903
178,BB,control,Phase 1,B,0.903
179,BB,control,Phase 1,C,0.903
180,BB,control,Phase 1,D,0.903
181,BB,control,Phase 1,E,0.903
182,BB,control,Phase 2,A,0.903
183,BB,control,Phase 2,B,0.903
184,BB,control,Phase 2,C,0.903
185,BB,control,Phase 2,D,0.903
186,BB,control,Phase 2,E,0.903
187,BB,control,Phase 1,A,0.903
188,BB,control,Phase 1,B,0.903
189,BB,control,Phase 1,C,0.903
190,BB,control,Phase 1,D,0.903
191,BB,control,Phase 1,E,0.903
192,BB,control,Phase 2,A,0.903
193,BB,control,Phase 2,B,0.903
194,BB,control,Phase 2,C,0.903
195,BB,control,Phase 2,D,0.903
196,BB,control,Phase 2,E,0.903
197,BB,control,Phase 1,A,0.903
198,BB,control,Phase 1,B,0.903
199,BB,control,Phase 1,C,0.903
200,BB,control,Phase 1,D,0.903
201,BB,control,Phase 1,E,0.903
202,BB,control,Phase 2,A,0.903
203,BB,control,Phase 2,B,0.903
204,BB,control,Phase 2,C,0.903
205,BB,control,Phase 2,D,0.903
206,BB,control,Phase 2,E,0.903
207,BB,control,Phase 1,A,0.903
208,BB,control,Phase 1,B,0.903
209,BB,control,Phase 1,C,0.903
210,BB,control,Phase 1,D,0.903
211,BB,control,Phase 1,E,0.903
212,BB,control,Phase 2,A,0.903
213,BB,control,Phase 2,B,0.903
214,BB,control,Phase 2,C,0.903
215,BB,control,Phase 2,D,0.903
216,BB,control,Phase 2,E,0.903
217,BB,control,Phase 1,A,0.903
218,BB,control,Phase 1,B,0.903
219,BB,control,Phase 1,C,0.903
220,BB,control,Phase 1,D,0.903
221,BB,control,Phase 1,E,0.903
222,BB,control,Phase 2,A,0.903
223,BB,control,Phase 2,B,0.903
224,BB,control,Phase 2,C,0.903
225,BB,control,Phase 2,D,0.903
226,BB,control,Phase 2,E,0.903
227,BB,control,Phase 1,A,0.903
228,BB,control,Phase 1,B,0.903
229,BB,control,Phase 1,C,0.903
230,BB,control,Phase 1,D,0.903
231,BB,control,Phase 1,E,0.903
232,BB,control,Phase 2,A,0.903
