ID,AGE,SEX,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CONTROL_1_CHOICE_A,CONTROL_1_CHOICE_B,CONTROL_1_CHOICE_C,CONTROL_1_CHOICE_D,CONTROL_1_CHOICE_E,CONTROL_2_CHOICE_A,CONTROL_2_CHOICE_B,CONTROL_2_CHOICE_C,CONTROL_2_CHOICE_D,CONTROL_2_CHOICE_E,MAIN_1_CHOICE_A,MAIN_1_CHOICE_B,MAIN_1_CHOICE_C,MAIN_2_CHOICE_A,MAIN_2_CHOICE_B,MAIN_2_CHOICE_C
60,6,1,0,0,0,1,1,1,1,0,NA,1,0,1,0,NA,0,1,1,0,1,1
61,6,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
62,6,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,5,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1
64,5,0,0,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
65,6,0,0,2,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,0
66,5,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
67,6,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,6,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,5,0,1,2,1,1,1,1,1,0,NA,1,1,1,0,NA,0,1,1,0,1,1
70,5,1,0,0,0,1,1,1,1,0,NA,1,1,1,0,NA,0,1,1,0,1,1
71,4,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1
72,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0
73,6,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,5,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0
76,5,0,0,3,0,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1
77,5,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1
78,5,0,0,1,0,1,0,0,1,1,NA,0,0,1,1,NA,1,0,1,1,0,1
79,6,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
80,6,0,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,6,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,6,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,5,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
