ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.944
2,BB,main,Phase 1,B,0.918
3,BB,main,Phase 1,C,0.917
4,BB,main,Phase 2,A,0.944
5,BB,main,Phase 2,B,0.918
6,BB,main,Phase 2,C,0.917
7,BB,main,Phase 1,A,0.944
8,BB,main,Phase 1,B,0.917
9,BB,main,Phase 1,C,0.917
10,BB,main,Phase 2,A,0.944
11,BB,main,Phase 2,B,0.918
12,BB,main,Phase 2,C,0.918
13,BB,main,Phase 1,A,0.944
14,BB,main,Phase 1,B,0.918
15,BB,main,Phase 1,C,0.918
16,BB,main,Phase 2,A,0.944
17,BB,main,Phase 2,B,0.918
18,BB,main,Phase 2,C,0.917
19,BB,main,Phase 1,A,0.944
20,BB,main,Phase 1,B,0.917
21,BB,main,Phase 1,C,0.918
22,BB,main,Phase 2,A,0.944
23,BB,main,Phase 2,B,0.918
24,BB,main,Phase 2,C,0.918
25,BB,main,Phase 1,A,0.944
26,BB,main,Phase 1,B,0.918
27,BB,main,Phase 1,C,0.918
28,BB,main,Phase 2,A,0.944
29,BB,main,Phase 2,B,0.918
30,BB,main,Phase 2,C,0.918
31,BB,main,Phase 1,A,0.944
32,BB,main,Phase 1,B,0.918
33,BB,main,Phase 1,C,0.917
34,BB,main,Phase 2,A,0.944
35,BB,main,Phase 2,B,0.918
36,BB,main,Phase 2,C,0.917
37,BB,main,Phase 1,A,0.944
38,BB,main,Phase 1,B,0.918
39,BB,main,Phase 1,C,0.917
40,BB,main,Phase 2,A,0.944
41,BB,main,Phase 2,B,0.917
42,BB,main,Phase 2,C,0.918
43,BB,main,Phase 1,A,0.944
44,BB,main,Phase 1,B,0.918
45,BB,main,Phase 1,C,0.918
46,BB,main,Phase 2,A,0.944
47,BB,main,Phase 2,B,0.917
48,BB,main,Phase 2,C,0.917
49,BB,main,Phase 1,A,0.944
50,BB,main,Phase 1,B,0.917
51,BB,main,Phase 1,C,0.917
52,BB,main,Phase 2,A,0.944
53,BB,main,Phase 2,B,0.918
54,BB,main,Phase 2,C,0.918
55,BB,main,Phase 1,A,0.944
56,BB,main,Phase 1,B,0.917
57,BB,main,Phase 1,C,0.917
58,BB,main,Phase 2,A,0.944
59,BB,main,Phase 2,B,0.918
60,BB,main,Phase 2,C,0.918
61,BB,main,Phase 1,A,0.944
62,BB,main,Phase 1,B,0.917
63,BB,main,Phase 1,C,0.918
64,BB,main,Phase 2,A,0.944
65,BB,main,Phase 2,B,0.918
66,BB,main,Phase 2,C,0.918
67,BB,main,Phase 1,A,0.944
68,BB,main,Phase 1,B,0.917
69,BB,main,Phase 1,C,0.918
70,BB,main,Phase 2,A,0.944
71,BB,main,Phase 2,B,0.918
72,BB,main,Phase 2,C,0.918
73,BB,main,Phase 1,A,0.944
74,BB,main,Phase 1,B,0.918
75,BB,main,Phase 1,C,0.917
76,BB,main,Phase 2,A,0.944
77,BB,main,Phase 2,B,0.918
78,BB,main,Phase 2,C,0.917
79,BB,main,Phase 1,A,0.944
80,BB,main,Phase 1,B,0.918
81,BB,main,Phase 1,C,0.918
82,BB,main,Phase 2,A,0.944
83,BB,main,Phase 2,B,0.918
84,BB,main,Phase 2,C,0.917
85,BB,main,Phase 1,A,0.944
86,BB,main,Phase 1,B,0.918
87,BB,main,Phase 1,C,0.918
88,BB,main,Phase 2,A,0.944
89,BB,main,Phase 2,B,0.918
90,BB,main,Phase 2,C,0.918
91,BB,main,Phase 1,A,0.944
92,BB,main,Phase 1,B,0.918
93,BB,main,Phase 1,C,0.918
94,BB,main,Phase 2,A,0.944
95,BB,main,Phase 2,B,0.918
96,BB,main,Phase 2,C,0.918
97,BB,main,Phase 1,A,0.944
98,BB,main,Phase 1,B,0.917
99,BB,main,Phase 1,C,0.918
100,BB,main,Phase 2,A,0.944
101,BB,main,Phase 2,B,0.917
102,BB,main,Phase 2,C,0.918
103,BB,main,Phase 1,A,0.944
104,BB,main,Phase 1,B,0.917
105,BB,main,Phase 1,C,0.918
106,BB,main,Phase 2,A,0.944
107,BB,main,Phase 2,B,0.918
108,BB,main,Phase 2,C,0.917
109,BB,main,Phase 1,A,0.944
110,BB,main,Phase 1,B,0.917
111,BB,main,Phase 1,C,0.917
112,BB,main,Phase 2,A,0.944
113,BB,main,Phase 2,B,0.917
114,BB,main,Phase 2,C,0.918
115,BB,main,Phase 1,A,0.944
116,BB,main,Phase 1,B,0.918
117,BB,main,Phase 1,C,0.918
118,BB,main,Phase 2,A,0.944
119,BB,main,Phase 2,B,0.918
120,BB,main,Phase 2,C,0.918
121,BB,main,Phase 1,A,0.944
122,BB,main,Phase 1,B,0.917
123,BB,main,Phase 1,C,0.917
124,BB,main,Phase 2,A,0.944
125,BB,main,Phase 2,B,0.918
126,BB,main,Phase 2,C,0.918
127,BB,main,Phase 1,A,0.944
128,BB,main,Phase 1,B,0.918
129,BB,main,Phase 1,C,0.917
130,BB,main,Phase 2,A,0.944
131,BB,main,Phase 2,B,0.917
132,BB,main,Phase 2,C,0.917
133,BB,main,Phase 1,A,0.944
134,BB,main,Phase 1,B,0.918
135,BB,main,Phase 1,C,0.917
136,BB,main,Phase 2,A,0.944
137,BB,main,Phase 2,B,0.917
138,BB,main,Phase 2,C,0.918
139,BB,main,Phase 1,A,0.944
140,BB,main,Phase 1,B,0.917
141,BB,main,Phase 1,C,0.917
142,BB,main,Phase 2,A,0.944
143,BB,main,Phase 2,B,0.917
144,BB,main,Phase 2,C,0.917
145,BB,main,Phase 1,A,0.944
146,BB,main,Phase 1,B,0.917
147,BB,main,Phase 1,C,0.917
148,BB,main,Phase 2,A,0.944
149,BB,main,Phase 2,B,0.918
150,BB,main,Phase 2,C,0.918
151,BB,main,Phase 1,A,0.944
152,BB,main,Phase 1,B,0.918
153,BB,main,Phase 1,C,0.917
154,BB,main,Phase 2,A,0.944
155,BB,main,Phase 2,B,0.918
156,BB,main,Phase 2,C,0.918
157,BB,main,Phase 1,A,0.944
158,BB,main,Phase 1,B,0.917
159,BB,main,Phase 1,C,0.917
160,BB,main,Phase 2,A,0.944
161,BB,main,Phase 2,B,0.917
162,BB,main,Phase 2,C,0.917
163,BB,main,Phase 1,A,0.944
164,BB,main,Phase 1,B,0.918
165,BB,main,Phase 1,C,0.918
166,BB,main,Phase 2,A,0.944
167,BB,main,Phase 2,B,0.918
168,BB,main,Phase 2,C,0.918
169,BB,main,Phase 1,A,0.944
170,BB,main,Phase 1,B,0.918
171,BB,main,Phase 1,C,0.918
172,BB,main,Phase 2,A,0.944
173,BB,main,Phase 2,B,0.918
174,BB,main,Phase 2,C,0.918
175,BB,main,Phase 1,A,0.944
176,BB,main,Phase 1,B,0.918
177,BB,main,Phase 1,C,0.917
178,BB,main,Phase 2,A,0.944
179,BB,main,Phase 2,B,0.918
180,BB,main,Phase 2,C,0.918
181,BB,main,Phase 1,A,0.944
182,BB,main,Phase 1,B,0.918
183,BB,main,Phase 1,C,0.917
184,BB,main,Phase 2,A,0.944
185,BB,main,Phase 2,B,0.917
